OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 SOC CODE TEXT,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE
958,EMPLOYEE BENEFITS LAW,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
963,LEGAL INSTRUMENTS EXAMINING,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
965,LAND LAW EXAMINING,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
986,LEGAL ASSISTANCE,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
999,LEGAL OCCUPATIONS STUDENT TRAINEE,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1202,PATENT TECHNICIAN ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1210,COPYRIGHT ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1220,PATENT ADMINISTRATION ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1221,PATENT ADVISER ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1223,PATENT CLASSIFYING ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1224,PATENT EXAMINING ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1226,DESIGN PATTERN EXAMINING ,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1299,COPYRIGHT & PATENT STUDENT TRAINEE,1,5,23-2090,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
1701,GENERAL EDUCATION & TRAINING,1,2,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1703,EDUCATION SPECIALIST,1,2**,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1710,EDUCATION & VOCATIONAL TRAINING,1,2,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1712,TRAINING INSTRUCTION,1,2,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1715,VOCATIONAL REHABILITATION,1,2,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1799,EDUCATION STUDENT TRAINEE,1,5*,25-3000,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
1015,MUSEUM CURATOR ,1,2,25-4010,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
1016,MUSEUM SPECIALIST & TECHNICIAN ,1,2,25-4010,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
1420,ARCHIVIST ,1,2,25-4010,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
1421,ARCHIVES TECHNICIAN,1,5*,25-4010,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
1410,LIBRARIAN,1,2,25-4021,25-4021,2430,LIBRARIANS
1411,LIBRARY TECHNICIAN ,1,5*,25-4031,25-4031,2440,LIBRARY TECHNICIANS
1412,TECHNICIAN INFORMATION SERVICES,1,5*,25-4031,25-4031,2440,LIBRARY TECHNICIANS
1001,GENERAL ARTS & INFORMATION,1,2,27-1010,27-1010,2600,ARTISTS & RELATED WORKERS
1002,ARTS & INFORMATION SUPPORT,1,3**,27-1010,27-1010,2600,ARTISTS & RELATED WORKERS
1020,ILLUSTRATING ,1,2,27-1010,27-1010,2600,ARTISTS & RELATED WORKERS
1056,ART SPECIALIST,1,2,27-1010,27-1010,2600,ARTISTS & RELATED WORKERS
1099,INFORMATION & ARTS STUDENT TRAINEE,1,5*,27-1010,27-1010,2600,ARTISTS & RELATED WORKERS
62,CLOTHING DESIGN ,1,2,27-1020,27-1020,2630,DESIGNERS
1008,INTERIOR DESIGN ,1,2,27-1020,27-1020,2630,DESIGNERS
1010,EXHIBITS SPECIALIST,1,2,27-1020,27-1020,2630,DESIGNERS
1084,VISUAL INFORMATION ,1,2,27-1020#,27-1020,2630,DESIGNERS
1054,THEATER SPECIALIST,1,2,27-2012,27-2012,2710,PRODUCERS & DIRECTORS
1071,AUDIOVISUAL PRODUCTION,1,2,27-2012,27-2012,2710,PRODUCERS & DIRECTORS
30,SPORTS SPECIALIST,1,2,27-2020,27-2020,2720,"ATHLETES, COACHES, UMPIRES, & RELATED WORKERS"
1051,MUSIC SPECIALIST ,1,2,27-2040,27-2040,2750,"MUSICIANS, SINGERS & RELATED WORKERS"
1035,PUBLIC AFFAIRS,1,2,27-3031,27-3031,2825,PUBLIC RELATIONS SPECIALISTS
1083,TECHNICAL WRITING & EDITING ,1,2,27-3042,27-3042,2840,TECHNICAL WRITERS
1082,WRITING & EDITING ,1,2,27-3043,27-3043,2850,WRITERS & AUTHORS
1040,LANGUAGE SPECIALIST ,1,2,27-3090,27-3090,2860,MISCELLANEOUS MEDIA & COMMUNICATIONS WORKERS
1060,PHOTOGRAPHY ,1,2,27-4021,27-4021,2910,PHOTOGRAPHERS
680,DENTISTRY,1,2,29-1020,29-1020,3010,DENTISTS
630,DIETETICS & NUTRITION,1,2,29-1031,29-1031,3030,DIETICIANS & NUTRITIONISTS
662,OPTOMETRY,1,2,29-1041,29-1041,3040,OPTOMETRISTS
660,PHARMACY,1,2,29-1051,29-1051,3050,PHARMACISTS
602,PHYSICIAN,1,2,29-1060,29-1060,3060,PHYSICIANS & SURGEONS
603,PHYSICIAN'S ASSISTANT ,1,2,29-1071,29-1071,3110,PHYSICIAN ASSISTANTS
668,PODIATRY,1,2,29-1081,29-1081,3120,PODIATRISTS
631,OCCUPATIONAL THERAPY,1,2,29-1122,29-1122,3150,OCCUPATIONAL THERAPISTS
633,PHYSICAL THERAPY,1,2,29-1123,29-1123,3160,PHYSICAL THERAPISTS
638,RECREATIONAL/CREATIVE ARTS THERAPY,1,2,29-1125,29-1125,3210,RECREATIONAL THERAPISTS
651,RESPIRATORY THERAPIST,1,2,29-1126,29-1126,3220,RESPIRATORY THERAPISTS
665,SPEECH/LANGUAGE PATHOLOGY & AUDIOLOGY ,1,2,29-1127#,29-1127,3230#,SPEECH-LANGUAGE PATHOLOGISTS#
701,VETERINARY MEDICAL SCIENCE ,1,2,29-1131,29-1131,3250,VETERINARIANS
799,VETERINARY STUDENT TRAINEE,1,2,29-1131,29-1131,3250,VETERINARIANS
610,NURSING,1,2,29-1141,29-1141,3255,REGISTERED NURSES
601,GENERAL MEDICAL AND HEALTHCARE,1,2,29-1199,29-1199,3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER"
644,CLINICAL LABORATORY SCIENCE,1,2*,29-2010,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
645,MEDICAL TECHNICIAN,1,3,29-2010,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
646,PATHOLOGY TECHNICIAN ,1,3,29-2010,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
682,DENTAL HYGIENE,1,3,29-2021,29-2021,3310,DENTAL HYGIENISTS
642,NUCLEAR MEDICINE TECHNICIAN,1,3,29-2030,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
647,DIAGNOSTIC RADIOLOGIC TECHNOLOGIST,1,3,29-2030,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
648,THERAPEUTIC RADIOLOGIC TECHNOLOGIST,1,3,29-2030,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
661,PHARMACY TECHNICIAN,1,3,29-2050,29-2050,3420#,HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS#
620,PRACTICAL NURSE,1,3,29-2061,29-2061,3500,LICENSED PRACTICAL & LICENSED VOCATIONAL NURSES
669,MEDICAL RECORDS ADMINISTRATION,1,3,29-2071,29-2071,3510,MEDICAL RECORDS & HEALTH INFORMATION TECHNICIANS
675,MEDICAL RECORDS TECHNICIAN,1,3,29-2071,29-2071,3510,MEDICAL RECORDS & HEALTH INFORMATION TECHNICIANS
649,MEDICAL INSTRUMENT TECHNICIAN,1,3,29-2090,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
650,MEDICAL TECHNICAL ASSISTANT,1,3,29-2090,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
667,ORTHOTIST & PROSTHETIST,1,3,29-2090,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
672,PROSTHETIC REPRESENTATIVE,1,3,29-2090,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
698,ENVIRONMENTAL HEALTH TECHNICIAN,1,3,29-2090,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
18,SAFETY & OCCUPATIONAL HEALTH MANAGEMENT,1,3,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
19,SAFETY TECHNICIAN,1,3,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
685,PUBLIC HEALTH PROGRAM SPECIALIST,1,2,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
688,SANITARIAN,1,3,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
690,INDUSTRIAL HYGIENE,1,3,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
696,CONSUMER SAFETY ,1,3,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
699,MEDICAL & HEALTH STUDENT TRAINEE,1,2*,29-9000,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
621,NURSING ASSISTANT,1,9,31-1010,31-1010,3600,"NURSING, PSYCHIATRIC, & HOME HEALTH AIDES"
681,DENTAL ASSISTANT,1,3,31-9091,31-9091,3640,DENTAL ASSISTANTS
704,ANIMAL HEALTH TECHNICIAN,1,3,31-9096,31-9096,3648,VETERINARY ASSISTANTS & LABORATORY ANIMAL CARETAKERS
6,CORRECTIONAL INSTITUTION ADMINISTRATION,1,9,33-1011,33-1011,3700,FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS
81,FIRE PROTECTION & PREVENTION,1,9,33-2011,33-2011,3740,FIREFIGHTERS
7,CORRECTIONAL OFFICER,1,9,33-3010,33-3010,3800,"BAILIFFS, CORRECTIONAL OFFICERS, & JAILERS"
82,UNITED STATES MARSHAL ,1,9,33-3021,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
1805,INVESTIGATIVE ANALYSIS,1,5,33-3021,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
1810,GENERAL INVESTIGATING,1,9,33-3021,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
1811,CRIMINAL INVESTIGATING,1,9,33-3021,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
1881,CUSTOMS & BORDER PROTECTION INTERDICTION,1,9,33-3021,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
83,POLICE ,1,9,33-3050,33-3050,3850,POLICE OFFICERS
1896,BORDER PATROL ENFORCEMENT,1,9,33-3050#,33-3050,3850,POLICE OFFICERS
85,SECURITY GUARD ,1,9,33-9030,33-9030,3930,SECURITY GUARDS & GAMING SURVEILLANCE OFFICERS
1667,FOOD SERVICES,1,9,35-1012,35-1012,4010,FIRST-LINE SUPERVISORS OF FOOD PREPARATION & SERVING WORKERS
7404,COOKING,1,9,35-2010,35-2010,4020,COOKS
7405,BARTENDING ,1,9,35-3011,35-3011,4040,BARTENDERS
7420,WAITER,1,9,35-3031,35-3031,4110,WAITERS & WAITRESSES
673,HOSPITAL HOUSEKEEPING MANAGEMENT,1,9,37-1011,37-1011,4200,FIRST-LINE SUPERVISORS OF HOUSEKEEPING & JANITORIAL WORKERS#
5026,PEST CONTROLLING ,1,6*,37-2021,37-2021,4240,PEST CONTROL WORKERS
4754,CEMETERY CARETAKING,1,8,37-3010,37-3010,4250,GROUNDS MAINTENANCE WORKERS
5042,TREE TRIMMING & REMOVING,1,8,37-3010,37-3010,4250,GROUNDS MAINTENANCE WORKERS
5048,ANIMAL CARETAKING ,1,8*,39-2021,39-2021,4350,NONFARM ANIMAL CARETAKERS
3910,MOTION PICTURE PROJECTION,1,9,39-3021,39-3021,4410,MOTION PICTURE PROJECTIONISTS
7603,BARBERING,1,9,39-5011,39-5011,4500,BARBERS
90,GUIDE,1,9,39-7010,39-7010,4540,TOUR & TRAVEL GUIDES
23,OUTDOOR RECREATION PLANNING,1,9,39-9030,39-9030,4620,RECREATION & FITNESS WORKERS
188,RECREATION SPECIALIST,1,9,39-9030,39-9030,4620,RECREATION & FITNESS WORKERS
189,RECREATION AID & ASSISTANT,1,9,39-9030,39-9030,4620,RECREATION & FITNESS WORKERS
7601,GENERAL PERSONAL SERVICES,1,9,39-9099,39-9099,4650,"PERSONAL CARE & SERVICE WORKERS, ALL OTHER"
530,CASH PROCESSING ,1,4,41-2010,41-2010,4720,CASHIERS
2091,SALES STORE CLERICAL ,1,4,41-2031,41-2031,4760,RETAIL SALESPERSONS
11,BOND SALES PROMOTION ,1,4,41-3031,41-3031,4820,"SECURITIES, COMMODITIES, & FINANCIAL SERVICES SALES AGENTS"
1170,REALTY ,1,4,41-9020#,41-9020,4920#,REAL ESTATE BROKERS AND SALES AGENTS#
313,WORK UNIT SUPERVISING ,1,5,43-1011,43-1011,5000,FIRST-LINE SUPERVISORS OF OFFICE & ADMINISTRATIVE SUPPORT WORKERS
382,TELEPHONE OPERATING ,1,5,43-2021,43-2021,5020,TELEPHONE OPERATORS
390,TELECOMMUNICATIONS PROCESSING,1,5,43-2099,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER"
392,GENERAL TELECOMMUNICATIONS,1,5,43-2099,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHERS"
394,COMMUNICATIONS CLERICAL ,1,5,43-2099,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER"
503,FINANCIAL CLERICAL & TECHNICIAN,1,5,43-3031,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS"
525,ACCOUNTING TECHNICIAN ,1,5,43-3031,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS"
540,VOUCHER EXAMINING,1,5,43-3031,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS"
561,BUDGET CLERICAL & ASSISTANCE,1,5,43-3031,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS"
544,CIVILIAN PAY,1,5,43-3051,43-3051,5140,PAYROLL & TIMEKEEPING CLERKS
545,MILITARY PAY,1,5,43-3051,43-3051,5140,PAYROLL & TIMEKEEPING CLERKS
1106,PROCUREMENT CLERICAL & TECHNICIAN,1,5,43-3061,43-3061,5150,PROCUREMENT CLERKS
2005,SUPPLY CLERICAL & TECHNICIAN,1,5,43-3061,43-3061,5150,PROCUREMENT CLERKS
187,SOCIAL SERVICES,1,2,43-4061,43-4061,5250,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS "
962,CONTACT REPRESENTATIVE,1,5*,43-4061,43-4061,5250,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS "
203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING"
304,INFORMATION RECEPTIONIST ,1,5,43-4171,43-4171,5400,RECEPTIONISTS & INFORMATION CLERKS
679,MEDICAL SUPPORT ASSISTANCE ,1,5,43-4199,43-4199,5420,"INFORMATION & RECORD CLERKS, ALL OTHER "
2131,FREIGHT RATE,1,5,43-5011,43-5011,5500,CARGO & FREIGHT AGENTS
2144,CARGO SCHEDULING ,1,5,43-5011,43-5011,5500,CARGO & FREIGHT AGENTS
2161,MARINE CARGO,1,5,43-5011,43-5011,5500,CARGO & FREIGHT AGENTS
302,MESSENGER ,1,5,43-5021,43-5021,5510,COURIERS & MESSENGERS
2151,DISPATCHING,1,5,43-5030,43-5030,5520,DISPATCHERS
6901,GENERAL WAREHOUSING & STOCK HANDLING,1,7*,43-5061,43-5061,5600,"PRODUCTION, PLANNING, & EXPEDITING CLERKS"
6910,MATERIALS EXPEDITING ,1,5,43-5061,43-5061,5600,"PRODUCTION, PLANNING, & EXPEDITING CLERKS"
622,MEDICAL SUPPLY AIDE & TECHNICIAN,1,5,43-5081,43-5081,5620,STOCK CLERKS & ORDER FILLERS
6904,TOOLS & PARTS ATTENDING ,1,5,43-5081,43-5081,5620,STOCK CLERKS & ORDER FILLERS
6912,MATERIALS EXAMINING & IDENTIFYING,1,8*,43-5081,43-5081,5620,STOCK CLERKS & ORDER FILLERS
6914,STORE WORKING ,1,5,43-5081,43-5081,5620,STOCK CLERKS & ORDER FILLERS
5485,AIRCRAFT WEIGHT & BALANCE OPERATING (Series Discontinued),1,7,43-5111,43-5111,5630,"WEIGHERS, MEASURERS, CHECKERS, & SAMPLERS, RECORDKEEPING"
318,SECRETARY ,1,5,43-6010,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS
332,COMPUTER OPERATION,1,5,43-9011,43-9011,5800,COMPUTER OPERATORS
335,COMPUTER CLERK & ASSISTANT ,1,5*,43-9011,43-9011,5800,COMPUTER OPERATORS
2203,COMPUTER OPERATOR,1,5**,43-9011,43-9011,5800,COMPUTER OPERATORS
356,DATA TRANSCRIBER,1,5,43-9021,43-9021,5810,DATA ENTRY KEYERS
322,CLERK-TYPIST,1,5,43-9022,43-9022,5820,WORD PROCESSORS & TYPISTS
326,OFFICE AUTOMATION CLERICAL & ASSISTANCE,1,5,43-9022,43-9022,5820,WORD PROCESSORS & TYPISTS
593,INSURANCE ACCOUNTS (Series Discontinued),1,5,43-9041,43-9041,5840,INSURANCE CLAIMS & POLICY PROCESSING CLERKS
305,MAIL & FILE ,1,5,43-9051,43-9051,5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE"
350,EQUIPMENT OPERATOR,1,5,43-9071,43-9071,5900,"OFFICE MACHINE OPERATORS, EXCEPT COMPUTERS"
1087,EDITORIAL ASSISTANCE ,1,2*,43-9081,43-9081,5910,PROOFREADERS & COPY MARKERS
1531,STATISTICAL ASSISTANT,1,5,43-9111,43-9111,5920,STATISTICAL ASSISTANTS
1850,AGRICULTURAL WAREHOUSE INSPECTION,1,3*,45-2011,45-2011,6010,AGRICULTURAL INSPECTORS
1863,FOOD INSPECTION,1,3*,45-2011,45-2011,6010,AGRICULTURAL INSPECTORS
1980,AGRICULTURAL COMMODITY GRADING ,1,8,45-2041,45-2041,6040,"GRADERS & SORTERS, AGRICULTURAL PRODUCTS"
1981,AGRICULTURAL COMMODITY AID ,1,8,45-2041,45-2041,6040,"GRADERS & SORTERS, AGRICULTURAL PRODUCTS"
3808,BOILERMAKING,1,6,47-2011,47-2011,6210,BOILERMAKERS
3603,MASONRY,1,6,47-2020,47-2020,6220,"BRICKMASONS, BLOCKMASONS & STONEMASONS"
4607,CARPENTRY,1,6,47-2031,47-2031,6230,CARPENTERS
5220,SHIPWRIGHT ,1,6,47-2031,47-2031,6230,CARPENTERS
3604,TILE SETTING ,1,6,47-2040,47-2040,6240,"CARPET, FLOOR & TILE INSTALLERS & FINISHERS"
3601,GENERAL STRUCTURAL & FINISHING WORK,1,6,47-2050,47-2050,6250,"CEMENT MASONS, CONCRETE FINISHERS, & TERRAZZO WORKERS"
3602,CEMENT FINISHING,1,6,47-2050,47-2050,6250,"CEMENT MASONS, CONCRETE FINISHERS, & TERRAZZO WORKERS"
2805,ELECTRICIAN,1,6,47-2111,47-2111,6355,ELECTRICIANS
3610,INSULATING,1,6,47-2130,47-2130,6400,INSULATION WORKERS
4101,MISCELLANEOUS PAINTING & PAPER HANGING,1,6,47-2141,47-2141,6420,"PAINTERS, CONSTRUCTION & MAINTENANCE"
4102,PAINTING,1,6,47-2141,47-2141,6420,"PAINTERS, CONSTRUCTION & MAINTENANCE"
4201,GENERAL PLUMBING AND PIPEFITTING,1,6,47-2150,47-2150,6440,"PIPELAYERS, PLUMBERS, PIPEFITTERS & STEAMFITTERS"
4204,PIPEFITTING,1,6,47-2150,47-2150,6440,"PIPELAYERS, PLUMBERS, PIPEFITTERS & STEAMFITTERS"
4206,PLUMBING ,1,6,47-2150,47-2150,6440,"PIPELAYERS, PLUMBERS, PIPEFITTERS & STEAMFITTERS"
3605,PLASTERING ,1,6,47-2161,47-2161,6460,PLASTERERS & STUCCO MASONS
3606,ROOFING ,1,6,47-2181,47-2181,6515,ROOFERS
3801,GENERAL METAL WORK,1,7,47-2211,47-2211,6520,SHEET METAL WORKERS
3806,SHEET METAL MECHANIC,1,6,47-2211,47-2211,6520,SHEET METAL WORKERS
809,CONSTRUCTION CONTROL TECHNICAL,1,2*,47-4011,47-4011,6660,CONSTRUCTION & BUILDING INSPECTORS
5313,ELEVATOR MECHANIC,1,6,47-4021,47-4021,6700,ELEVATOR INSTALLERS & REPAIRERS
84,NUCLEAR MATERIALS COURIER,1,6*,47-4041,47-4041,6720,HAZARDOUS MATERIALS REMOVAL WORKERS
6913,HAZARDOUS WASTE DISPOSING,1,6*,47-4041,47-4041,6720,HAZARDOUS MATERIALS REMOVAL WORKERS
3546,RAILROAD REPAIRING,1,6,47-4061,47-4061,6740,RAIL-TRACK LAYING & MAINTENANCE EQUIPMENT OPERATORS
